title,text,subject,date
WATCH: Rebel News founder Ezra Levant arrested in Toronto for journalism,"Just another day in Trudeau’s Canada.Police arresting Ezra Levant at Bathurst and Sheppardhttps://t.co/eHU8AuSCGF— Israel Now (@neveragainlive1)November 24, 2024This is a developing story. Check back for updates.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",News,2024-12-05
Majority of Canadians angry about Donald Trump’s election win – poll,"While the Conservative Party of Canada continues to dominate the polls, Canadians by-and-large disapprove of Trump.A majority of Canadians are “angry” with the recent presidential election in the United States, according to a poll.60% of Canadians are either “very angry” or “moderately angry,” 25% are indifferent (neutral), while only 14% are “very happy” or “moderately happy.”The results come from anonline pollconducted by Pollara. This aligns with earlier research by the firm that suggests 66% of Canadians hold “negative feelings towards President Trump.”Who are you polling lol? I’m pretty much convinced at this point the owner of this account just posts the results of liberal arts majors at community colleges.— Benjamin Durden (@Krugg_of_Crom)November 21, 2024The results of the poll were shared on social media by polling aggregatorCanadian Polling. Some conservatives were skeptical of the results and voiced their disbelief.“I’m pretty much convinced at this point the owner of this account just posts the results of liberal arts majors at community colleges,”wroteone critic on X (Twitter).It is important to note thatCanadian Pollingis simply an aggregator of polls, and has posted results of polls that showed favourable numbers for the Conservative Party of Canada (CPC) lead byPierre Poilievre.Recent poll by Abacus Data, presented by Canadian Polling on XWhile Trump may be unpopular with Canadians, Poilievre is increasingly popular.Recent polls by Abacus Data suggests that Poilievre’s party holds a 22-point lead overJustin Trudeau‘s increasingly unpopular Liberal Party.Did you like this article? Consider asmall donation.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",News,2024-12-05
Majority of Torontonians approve of Olivia Chow – poll,"Despite being despised by conservatives across Canada, Chow still polls well amongst Torontonians.54% of Torontonians approve of the job that mayor Olivia Chow is doing, according topolling firmLiaison Strategies.This comes as bothpovertyand crime rates skyrocket in the city post-pandemic.Toronto – Olivia Chow Approval Polling:Approve: 54%Disapprove: 38%Unsure: 8%Liaison Strategies / Nov 10, 2024 / n=855 / MOE 3.6% / IVR— Polling Canada (@CanadianPolling)November 17, 2024Toronto 99previously reportedon the alleged connections between Chow and groups linked to the Chinese Communist Party (CCP).Our articles are free to read, but not to produce. If you liked this article,please donateso we can continue to write more.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",Middle-east,2024-12-05
Terrorism threat at all-time high as Canadian border security comes into question,"Canada may soon be the target of a terrorist attack if something is not done immediately.The threat of a terrorist attack in Canada is higher than it has ever been, as terrorists and gang-members head north in an effort to flee the United States.The recently re-elected Donald Trump has vowed to make deporting illegal immigrants a top priority, and there arereportsthat buses of illegals are already headed to the Canadian border.AdvertisementAuthorities in Canada narrowly prevented a slew of terrorist attacks, including a plot by two teenagers to bomb Jewish people during a pro-Israel rally on Parliament Hill.The plot wasrevealedTuesday by Canadian media. One of the young men charged allegedly had homemade bomb materials in his possession, including acetone, oxidizer and metal ball bearings.AdvertisementThese plots come as no surprise to experts that monitor terrorism in Canada. The Oct. 7 attacks by Hamas and subsequent invasion of Gaza by the Israel Army has lead to a rise of anti-Semitism in Canada.The president of Centre for Israel and Jewish Affairs, Shimon Koffler Foge, believes law enforcement in Canada is not doing enough to keep Canadians safe.AdvertisementConservative Party leaderPierre PoilievreslammedJustin Trudeauand the Liberal government’s failure to address to rise of anti-Semitism on X (Twitter).After 9 years of Justin Trudeau, we have seen a 251% increase in hate crimes, antisemitic hate marches on our streets, attacks on synagogues and schools, and a growing number of foiled terrorist attacks.”Poilievre has vowed to get tough on terrorists and their sympathizers, however Trudeau will stay in power for at least the next year, giving terrorists plenty of time to attack.AdvertisementDespite recent terrorism arrests and public calls from Jihadi activists to “murder Jews,” Canada’sterrorist threat levelremains at “medium,” as it has been since 2014.Our articles are free to read, but not to produce. If you liked this article,please donateso we can continue to write more.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",US_News,2024-12-05
Former British Columbia premier John Horgan dead at 65,"Horgan was a proponent of vaccine mandates.John Horgan, the former NDP premier of British Columbia, is dead after a battle with cancer, as is beingreportedby the media.Horgan was a proponent of mandatory Covid vaccines, urging businesses not to serve unvaccinated people during the pandemic.The late premier also encouraged business owners to report unvaccinated patrons topolice.If they have difficulty with patrons they call law enforcement, and I expect that’s what will happen with respect to the vaccination cards.”This is a developing story. Check back later for updates.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",News,2024-12-05
ANSWERED: How tall is Justin Trudeau? Is Justin Trudeau Catholic? Who is Justin Trudeau dating?,"Toronto 99 answers commonly asked questions about Canadian prime minister Justin Trudeau.Q – How tall is Justin Trudeau?A – Justin Trudeau is 6′ 2″ or 1.88 m, according to hisprofileon film website IMDb.Q – Is Justin Trudeau Catholic?A – Justin Trudeau identifies as a Catholic, and was raised Catholic by his father and former prime minister Pierre Elliott Trudeau, wasreportedby theCanadian Press.Q – Who is Justin Trudeau currently dating?A – Justin Trudeau is officially single after separating from his long-term wife Sophie in the summer of 2024. There has been speculation that he is dating Melanie Joly, as waspreviously reportedbyToronto 99. Some have speculated that he is actually gay, pointing to the fact he took his minor son to see the Barbie movie, as was alsoreportedbyToronto 99.Q – When was Justin Trudeau born?A – Justin Trudeau was born on December 25, 1971, at 9:27 pm EST at the Ottawa Civic Hospital, according to hisprofileonEncyclopedia Britannica.Q – When will Justin Trudeau’s term as prime minister end?A – Justin Trudeau will likely end his term before the next federal election. However, if he chooses to stay on as the leader of the Liberal Party, he will likely lose the next federal election held on or around Oct. 20, 2025. Polls have consistently indicated the Conservative Party holds a double-digit lead over Justin Trudeau’s Liberal Party, as has beenreported extensivelybyToronto 99.Q – How old is Justin Trudeau?A – Justin Trudeau is currently 53, being born in December 1971.Q – Is Justin Trudeau the son of Fidel Castro?A – No. Despite rampant online speculation, the conspiracy theory that Justin Trudeau is the son of Fidel Castro has beenthoroughly debunkedbyToronto 99.Q – Is Justin Trudeau a pedophile?A – This allegation lacks evidence. Justin Trudeau has been credibly accused of sexual assault, as waspreviously reportedbyToronto 99. Despite questions about hisabrupt departurefrom his teaching position being raised byPierre Poilievre, there is not enough evidence to label Justin Trudeau as a “pedophile.”Our articles are free to read, but not to produce. If you liked this article,please donateso we can continue to write more.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",News,2024-12-05
"Halifax elementary school CANCELS Remembrance Day, reverses decision","Veterans and active members of Canada’s military have been asked to not wear uniforms.An elementary school in Halifax has gone woke by asking veterans and active members of Canada’s military not to wear military uniforms while attending the school to appease its “diverse makeup.”Sackville Heights Elementary School, located in the northern part of the city, made therequestin its November newsletter.This decision would effectively cancel Remembrance Day, and make any ceremonies to honour the fallen during World War I & II inadequate.Kate Harrison, the director of research firm Abacus Data,slammedthe decision as a “slap in the face” on X (Twitter).Reminds me of the story of an Ottawa mom (who is a police officer), who was forbidden from wearing her uniform when speaking to Grade 1 students for a career day.”Tim Houston, the premier of Nova Scotia,slammedthe decision as “cowardly” and “insulting” on X.In the Nova Scotia and Canada I know, our veterans will never be asked to hide who they are.”This just one out of numerous examples of Canadian schools cancelling traditional events due to pressure from the woke left.UPDATE:Sackville Heights Elementary School reversed it decision, and will continue with Remembrance Day ceremonies, allowing attendees to wear full military uniforms if they desire. This appears to be in response to media attention and pushback from the province’s premier.Did you like this article? Consider asmall donation.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",Middle-east,2024-12-05
"Donald Trump wins 2024 election, begins transition process (UPDATED)","Trump has defeated Kamala Harris and is planning to continue where he left off in 2020.HOLY SH*T 🚨 Here is President Trump’s plan to DISMANTLE the Deep State. THIS IS HUGE 🇺🇸This is the MOST Important 3 minutes of your life right now. Donald Trump’s plan is PERFECT 👏THIS IS A MASSIVE WIN FOR AMERICA 🔥pic.twitter.com/D3MZrH1xj3— Marjorie Taylor Greene Press Release (Parody) (@MTGrepp)November 8, 2024Donald Trump has won the 2024 presidential election, defeating Kamala Harris. He is now in the process of organizing his transition, as wasreportedby theAssociated Press.Trump managed to secure every single swing state: Arizona, Nevada, North Carolina, Michigan, Pennsylvania, Wisconsin, and Georgia, as wasreportedby theNew York Times.Harris was quick to accept defeat, conceding the election to Trump a day after it was held.Right-wing commentator Alex Jones was one of the first prominent voices to call the election in Trump’s favour in a late night video broadcast.Toronto 99projected that Trump would win the election based on favourable polling in swing states on the eve of the election.UPDATE:This article was updated on Nov. 7 to include new details and additional context. Read more about oureditorial standards.Did you like this article? Consider asmall donation.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",US_News,2024-12-05
"Elections B.C ADMITS to uncounted ballots, data entry errors","The truth about the recent election in British Columbia is slowly coming out.There was multiple irregularities found during the vote-counting process during the recent provincial election in British Columbia, according to astatementmade by the Chief Electoral Officer.One of the irregularities was the failure to count ballots found in Prince George-Mackenzie (PRM) electoral district. 861 ballots from the box were not counted or reported on election night.Another irregularity was data-entry mistakes made by elections workers in five electoral districts. Workers failed to report votes from out of the district.B.C Conservatives leader John Rustad slammed the news of election irregularities in an X (Twitter)postto his followers, calling the mistakes an “unprecedented failure.”This is an unprecedented failure by the very institution responsible for ensuring the fairness and accuracy of our elections. At a time when confidence in election integrity is more fragile than ever before, British Columbians deserve assurance that every vote counts and that these errors are corrected.”Elections B.C insists that the irregularities were negligible, and did not affect the outcome in any of the ridings. However, critics remain unconvinced, and continue to insist the election was “rigged.”We are officially a 3rd world country in fact we could look up to 3rd world countries too make our elections better— Drew Humber (@DHumber90661)November 4, 2024One conservative commenting on X compared Canada’s election process to that of a “third world country.”Speculation that the latest election in B.C was rigged was fueled by the fact certain election workers were allowed to take ballots home, as waspreviously reportedbyToronto 99.B.C Elections insists that the recent election was fair, and there is no publicly available evidence that voter fraud tipped the election in the NDP’s favour.Our articles are free to read, but not to produce. If you liked this article,please donateso we can continue to write more.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",Middle-east,2024-12-05
B.C Conservative leader John Rustad admits defeat,"Despite online speculation that the recent provincial election was rigged, Rustad admits his party lost to the NDP.John Rustad, leader of the B.C Conservatives, has admitted defeat to the rival NDP party. He released a lengthystatementon X (Twitter) Monday night:We have made history in BC. Just 18 months ago, the Conservative Party of BC was at 2% in the polls, had no members, no money, no team. But what we did have was grit, determination and a massive grassroots movement that would make the impossible happen. I am immensely proud to lead a party that went from zero seats to 44 and almost government in just a year.This is unprecedented in our history. However, we still have work ahead of us. I want to express my gratitude to every British Columbian who participated in this election and voted. Your engagement in our democratic process is invaluable.I accept the results of this election. I thank our Elections BC workers for their hard and dedicated work. While there are still judicial recounts to be completed, it’s now clear that our party will not win enough seats to form government in BC. I am ready to begin the important work of leading BC’s Official Opposition.BC’s Conservative Caucus is committed to holding government accountable and advocating for policies that reflect the best interests of all British Columbians. Together, we will work tirelessly to ensure that your voices are heard and that we build a stronger future for all of BC. Thank you to over 900,000 BC voters for your trust and support. I look forward to serving you, and all British Columbians. Together — we made history in British Columbia.”This comes as political commentators across Canadaspeculatethat the NDP engaged in voter fraud. At the time of writing,Toronto 99has not been able to independently verify any of these claims.While voter fraud does occur in Canada, and has occurred inprevious electionsin British Columbia, there is insufficient evidence the recent provincial election was rigged.Did you like this article? Consider asmall donation.Big tech is censoring us. Use the buttons to share this article!Sign up for our newsletter to beat Big Tech censorship!First nameLast nameEmailI'mNot specifiedWomanMan",Middle-east,2024-12-05
