titles,text,subject,date
How new fitness technology can improve life expectancy,BBC technology reporter Lara Lewington tests how new fitness technology can improve our life expectancy.,Innovation,2024-11-29
New dates for school science and technology event,STEMFest will take place at the end of March after it was postponed because of bus driver shortages.,Isle of Man,2024-11-30
RSC to help firms develop new uses for technology,The West Midlands and Merseyside will share a £13.5m government investment in the creative sector.,England,2024-11-27
Schools science and technology event rescheduled,The event which was due to run on 23 and 24 October was pushed back due to transport issues.,Isle of Man,2024-10-23
Face recognition used to identify riot suspects,"Privacy campaign group Big Brother Watch says the technology is ""dangerously unregulated"".",England,2024-11-23
An augmented reality journey into Earth's future,An immersive exhibit at the Natural History Museum allows visitors to experience how the world will look in 2125.,Innovation,2024-12-04
US regulator says AI scanner 'deceived' users after BBC story,"In a proposed settlement, Evolv Technology will be banned from making certain claims about its products.",Technology,2024-11-27
Shop staff get bodycams due to 'daily abuse',"The supermarket chain has brought in the technology after a ""steady increase"" in confrontations.",Lincolnshire,2024-11-26
Five of the world's most innovative countries,The BBC speaks to residents and travellers in some of the top-ranked countries on the 2024 Global Innovation Index to find out how cutting-edge technology benefits day-to-day life.,Travel,2024-12-05
How new fitness technology can improve life expectancy,BBC technology reporter Lara Lewington tests how new fitness technology can improve our life expectancy.,Innovation,2024-11-29
New dates for school science and technology event,STEMFest will take place at the end of March after it was postponed because of bus driver shortages.,Isle of Man,2024-11-30
RSC to help firms develop new uses for technology,The West Midlands and Merseyside will share a £13.5m government investment in the creative sector.,England,2024-11-27
Schools science and technology event rescheduled,The event which was due to run on 23 and 24 October was pushed back due to transport issues.,Isle of Man,2024-10-23
Face recognition used to identify riot suspects,"Privacy campaign group Big Brother Watch says the technology is ""dangerously unregulated"".",England,2024-11-23
An augmented reality journey into Earth's future,An immersive exhibit at the Natural History Museum allows visitors to experience how the world will look in 2125.,Innovation,2024-12-04
US regulator says AI scanner 'deceived' users after BBC story,"In a proposed settlement, Evolv Technology will be banned from making certain claims about its products.",Technology,2024-11-27
